Año,Mes,Total,Ilocalizable,No Contesta,D. Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion,Efectividad de Leads
2024,2,543.0,108.0,33.0,0,1.0,389,1,12,3.1,72
2024,3,271.375,37.0,13.0,0,0.0,303,1,7,5.5,72
2024,4,416.0,79.0,46.0,3,0.0,303,1,8,2.8,69
2024,5,422.0,33.0,100.0,17,0.0,303,5,13,4.7,65
2024,6,967.0,140.0,173.0,31,3.0,620,17,6,1.0,64
2024,7,954.0,112.0,251.0,12,9.0,570,5,21,3.7,60
2024,8,1409.0,319.25,324.0,17,18.0,546,22,17,3.1,39
2024,9,1315.0,319.25,314.0,14,26.0,530,42,17,3.2,40
2024,10,1973.0,319.25,540.5,18,13.0,822,72,23,2.8,42
2024,11,1562.0,153.0,321.0,44,4.0,999,79,22,2.1,67
2024,12,1282.0,319.25,193.0,60,53.0,965,330,32,3.3,75
2025,1,1042.0,17.0,104.0,62,114.5,723,222,26,3.6,69
2025,2,561.0,9.0,39.0,14,31.0,468,150,20,4.3,83
2025,3,925.0,39.0,98.0,3,54.0,731,125,30,4.1,79
2025,4,1149.0,51.0,134.0,8,84.0,872,141,30,3.4,76
2025,5,815.0,5.0,75.0,2,14.0,574,179,34,5.9,70
2025,6,1083.0,62.0,266.0,5,56.0,694,315,40,5.8,64
2025,7,1358.0,128.0,241.0,3,93.0,893,290,36,4.0,66
2025,8,1419.0,81.0,540.5,7,59.0,681,338,27,4.0,48
2025,9,1100.0,32.0,401.0,9,18.0,660,229,38,5.8,60
2025,10,1192.0,67.0,413.0,0,17.0,695,288,40,5.8,58
2025,11,1061.0,46.0,218.0,1,52.0,744,488,41,5.5,70
2025,12,1534.0,125.0,194.0,34,44.0,729,823,34,4.7,48
2026,1,1516.0,148.0,187.0,52,53.0,714,602,37,5.2,47
2026,2,1235.0,116.0,106.0,8,31.0,730,523,30,4.1,59
2026,3,1785.0,228.0,184.0,48,32.0,944,698,38,4.0,53
2026,4,1393.0,212.0,123.0,38,28.0,724,559,41,5.7,52
2026,5,1251.0,158.0,116.0,25,19.0,736,458,35,4.8,59
