Año,Mes,Generadas,Aprobadas,Condicionadas,Rechazadas,Formalizadas,Pct_Aprobacion,Pct_Formalizacion
2024,1,5,1,0,4.0,1,20,75.25
2024,2,6,2,0,4.0,1,33,50.0
2024,3,11,7,1,4.0,5,64,71.0
2024,4,23,14,0,9.0,11,61,75.25
2024,5,26,8,4,14.0,3,31,38.0
2024,6,43,13,0,22.0,6,30,46.0
2024,7,55,30,3,17.0,17,55,57.0
2024,8,36,19,0,13.0,9,53,47.0
2024,9,56,26,1,13.0,7,46,27.0
2024,10,79,31,32,12.0,14,39,45.0
2024,11,76,25,26,25.0,14,33,56.0
2024,12,103,39,33,26.0,17,38,44.0
2025,1,83,30,25,26.0,19,36,63.0
2025,2,76,27,18,21.0,12,36,44.0
2025,3,92,31,27,30.0,20,34,65.0
2025,4,59,35,6,16.0,17,59,49.0
2025,5,76,40,7,25.0,19,53,48.0
2025,6,97,46,25,22.0,25,47,54.0
2025,7,104,41,22,33.0,21,39,51.0
2025,8,99,27,22,44.0,13,27,48.0
2025,9,127,43,32,49.0,25,34,58.0
2025,10,136,51,22,54.75,25,38,49.0
2025,11,118,49,32,36.0,24,42,49.0
2025,12,111,31,49,28.0,14,28,45.0
2026,1,113,37,34,36.0,21,33,57.0
2026,2,83,37,21,25.0,17,45,46.0
2026,3,85,41,14,30.0,18,48,44.0
2026,4,74,42,16,16.0,16,57,38.0
2026,5,95,44,17,30.0,19,46,43.0
2026,6,82,35,10,33.0,13,43,37.0
2026,7,32,12,9,9.0,4,38,33.0
