Año,Mes,Obj_Interno,Obj_Margen_Variable,Obj_Planta,Ventas,Cumplimiento_Interno,Cumplimiento_Planta,Pct_Conversion
2024,1,,,,,,0,
2024,2,15.0,,,12.0,80.0,0,3.08
2024,3,15.0,,,7.0,48.625,0,5.47
2024,4,15.0,,,8.0,53.0,0,2.78
2024,5,15.0,,,13.0,87.0,0,4.74
2024,6,15.0,,,6.0,48.625,0,0.97
2024,7,20.0,,,21.0,105.0,0,3.68
2024,8,23.0,,,17.0,74.0,0,3.11
2024,9,24.0,,,17.0,71.0,0,3.21
2024,10,25.0,,,23.0,92.0,0,2.8
2024,11,27.0,,,22.0,81.0,0,2.12
2024,12,30.0,,,32.0,107.0,0,3.32
2025,1,30.0,24.0,26.0,26.0,87.0,100,3.6
2025,2,30.0,19.0,20.0,20.0,67.0,100,4.27
2025,3,30.0,26.0,30.0,30.0,100.0,100,4.1
2025,4,30.0,26.0,30.0,30.0,100.0,100,3.44
2025,5,41.0,28.0,34.0,34.0,83.0,100,4.91
2025,6,40.0,30.0,40.0,40.0,100.0,100,5.76
2025,7,45.0,28.0,36.0,36.0,80.0,100,4.03
2025,8,45.0,31.0,27.0,27.0,60.0,100,4.33
2025,9,45.0,31.0,41.0,41.0,91.0,100,6.21
2025,10,45.0,32.0,40.0,40.0,89.0,100,5.76
2025,11,45.0,35.0,42.0,42.0,93.0,100,5.65
2025,12,50.0,35.0,49.0,34.0,68.0,69,4.66
2026,1,40.0,37.0,37.0,37.0,93.0,100,5.32
2026,2,38.0,35.0,35.0,30.0,79.0,86,4.11
2026,3,40.0,36.0,37.0,41.0,103.0,111,4.34
2026,4,40.0,38.0,38.0,41.0,103.0,108,5.66
2026,5,40.0,38.0,38.0,35.0,88.0,92,4.76
2026,6,40.0,39.0,39.0,37.0,93.0,95,4.91
2026,7,40.0,42.0,42.0,33.0,83.0,79,8.01875
